Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
570141,Drozdov,279,203,201,"4,47 %","0,00 %","0,00 %","2,98 %","0,00 %","4,47 %","7,96 %","0,00 %","0,00 %","2,48 %","0,00 %","0,00 %","2,98 %","0,00 %","2,48 %","46,76 %","0,00 %","0,00 %","8,95 %","0,00 %","0,00 %","0,00 %","0,00 %","16,41 %","0,00 %"
534927,Dubicko,838,573,571,"6,30 %","0,17 %","0,00 %","5,95 %","0,17 %","3,67 %","7,70 %","0,70 %","1,40 %","1,92 %","0,17 %","0,17 %","9,28 %","0,52 %","1,05 %","32,92 %","0,00 %","0,35 %","14,53 %","0,00 %","0,35 %","0,00 %","0,17 %","12,25 %","0,17 %"
535532,Hanušovice,2 619,1 317,1 308,"4,12 %","0,22 %","0,00 %","6,19 %","0,00 %","6,95 %","12,15 %","1,29 %","0,84 %","0,84 %","0,99 %","0,07 %","7,41 %","0,00 %","1,22 %","37,99 %","0,00 %","0,38 %","4,43 %","0,00 %","0,00 %","0,22 %","0,45 %","13,91 %","0,22 %"
535770,Horní Studénky,282,203,199,"17,58 %","0,00 %","0,50 %","7,53 %","0,00 %","6,53 %","7,03 %","1,50 %","0,00 %","0,50 %","0,00 %","0,00 %","6,53 %","0,00 %","1,00 %","28,64 %","0,00 %","0,00 %","15,57 %","0,00 %","0,00 %","0,50 %","0,00 %","6,53 %","0,00 %"
535885,Hoštejn,330,232,232,"2,15 %","0,00 %","0,00 %","6,46 %","0,00 %","5,17 %","9,48 %","0,86 %","0,86 %","0,43 %","0,00 %","0,00 %","6,46 %","0,00 %","0,86 %","39,65 %","0,00 %","0,00 %","15,51 %","0,00 %","0,00 %","0,00 %","0,43 %","11,63 %","0,00 %"
553387,Hraběšice,113,80,80,"22,50 %","1,25 %","0,00 %","8,75 %","0,00 %","2,50 %","1,25 %","0,00 %","0,00 %","3,75 %","0,00 %","0,00 %","16,25 %","0,00 %","3,75 %","12,50 %","0,00 %","0,00 %","12,50 %","0,00 %","0,00 %","0,00 %","0,00 %","15,00 %","0,00 %"
536091,Hrabišín,702,420,416,"5,28 %","0,00 %","0,00 %","4,08 %","0,00 %","14,18 %","9,37 %","1,44 %","0,24 %","1,92 %","0,00 %","0,00 %","4,08 %","0,00 %","2,64 %","36,77 %","0,24 %","0,00 %","3,12 %","0,00 %","1,44 %","0,00 %","0,24 %","14,66 %","0,24 %"
553221,Hrabová,500,321,319,"5,32 %","0,00 %","0,00 %","9,09 %","0,00 %","12,22 %","6,89 %","1,56 %","0,00 %","1,56 %","0,00 %","0,00 %","8,15 %","0,00 %","1,56 %","30,72 %","0,00 %","0,31 %","8,15 %","0,00 %","0,00 %","0,00 %","0,00 %","14,42 %","0,00 %"
536113,Hynčina,154,75,75,"4,00 %","0,00 %","0,00 %","6,66 %","0,00 %","1,33 %","25,33 %","2,66 %","1,33 %","0,00 %","0,00 %","0,00 %","2,66 %","0,00 %","1,33 %","24,00 %","0,00 %","0,00 %","8,00 %","0,00 %","0,00 %","0,00 %","0,00 %","22,66 %","0,00 %"
569305,Chromeč,461,303,299,"3,67 %","0,00 %","0,00 %","4,68 %","0,33 %","9,69 %","4,01 %","0,33 %","1,33 %","1,67 %","0,00 %","0,00 %","9,69 %","0,00 %","1,33 %","28,76 %","0,00 %","0,00 %","22,40 %","0,00 %","0,00 %","0,33 %","0,33 %","11,37 %","0,00 %"
